ID,Attrition,Degree_Type,Achieved_Credit_Points,Attendance_Type,Age,Failed_Credit_Points,International_student,First_in_family,Gender,GPA,OP_Score,Socio_Economic_Status,Teaching_Period_Admitted,Faculty
n333984,Retained,Single,192,Part Time,33,0,No,Yes,F,6.49,6,Medium,SEM-1,Faculty of Health
n334573,Retained,Single,180,Full Time,20,0,No,Yes,F,5.06,13,Medium,SEM-1,QUT Business School
n334760,Retained,Single,0,Part Time,27,12,No,No,F,1,10,Low,SEM-2,QUT Business School
n335307,Retained,Single,96,Full Time,19,0,No,No,F,5,9,Low,SEM-1,CI Faculty
n335312,Retained,Single,0,Full Time,20,48,No,No,M,1.73,10,High,SEM-1,Sci and Eng Faculty
n335751,Retained,Double,144,Full Time,20,0,No,No,F,5.33,10,Medium,SEM-1,Faculty of Law
n335986,Not Retained,Single,0,Full Time,22,36,No,No,M,1.33,4,High,SEM-1,Faculty of Law
n336235,Retained,Single,36,Part Time,22,0,No,No,M,4.01,11,High,SEM-1,Sci and Eng Faculty
n336336,Retained,Single,84,Full Time,19,0,No,Yes,F,4.84,11,High,SEM-1,Faculty of Education
n336406,Retained,Single,96,Full Time,21,0,No,No,F,4.75,19,Medium,SEM-1,CI Faculty
n336459,Retained,Single,144,Full Time,23,0,No,No,F,5,18,Medium,SEM-2,Faculty of Health
n336863,Retained,Single,180,Full Time,22,24,Yes,No,F,4.11,18,High,SEM-1,QUT Business School
n336911,Retained,Single,156,Full Time,38,0,No,No,F,6.82,25,High,SEM-1,Faculty of Health
n337256,Retained,Single,96,Full Time,21,0,Yes,No,M,5.13,3,High,SEM-1,Sci and Eng Faculty
n337532,Retained,Double,0,Full Time,19,0,No,Yes,M,0.01,2,Medium,SEM-1,Faculty of Law
n338461,Retained,Single,96,Full Time,21,0,No,No,F,5.25,3,Medium,SEM-1,Faculty of Education
n338565,Retained,Double,0,Full Time,19,0,Yes,No,F,0,1,High,SEM-1,Sci and Eng Faculty
n338874,Not Retained,Single,48,Full Time,22,48,No,Yes,F,3.15,14,Medium,SEM-1,QUT Business School
n338976,Retained,Single,48,Full Time,25,0,No,Yes,M,5.76,7,Low,SEM-2,Sci and Eng Faculty
n339056,Retained,Single,108,Full Time,21,0,No,No,M,5.21,4,Medium,SEM-2,QUT Business School
n339224,Retained,Single,0,Full Time,19,0,No,No,M,0.01,7,Medium,SEM-1,Sci and Eng Faculty
n339852,Retained,Single,144,Full Time,41,0,No,No,M,4.26,7,Medium,SEM-2,Faculty of Health
n340313,Retained,Single,48,Full Time,23,0,No,Yes,M,5,11,Medium,SEM-2,Sci and Eng Faculty
n340402,Retained,Double,96,Full Time,52,0,No,No,F,5.88,5,Medium,SEM-1,Faculty of Health
n340519,Retained,Single,36,Full Time,27,0,No,No,F,5.99,15,Medium,SEM-2,CI Faculty
n341059,Retained,Single,0,Part Time,27,12,No,No,F,0.99,10,Low,SEM-2,QUT Business School
n341304,Retained,Single,96,Full Time,19,0,No,Yes,F,5.11,9,High,SEM-1,Sci and Eng Faculty
n341820,Retained,Single,96,Full Time,19,0,No,No,M,5.5,2,Low,SEM-1,Sci and Eng Faculty
n342346,Retained,Single,192,Full Time,33,0,No,No,F,6.81,21,Medium,SEM-1,Faculty of Health
n342538,Retained,Single,144,Part Time,22,0,No,No,M,4.18,12,Medium,SEM-1,QUT Business School
n342930,Retained,Single,96,Full Time,26,0,Yes,No,F,4.88,17,Medium,SEM-1,CI Faculty
n343071,Retained,Single,48,Full Time,20,0,No,No,M,5.01,11,High,SEM-1,Faculty of Health
n343497,Retained,Single,144,Part Time,26,0,No,No,F,4.49,22,Medium,SEM-1,Faculty of Law
n344164,Not Retained,Single,24,Full Time,19,24,No,No,M,3.24,13,High,SEM-1,CI Faculty
n345257,Retained,Double,108,Full Time,19,0,No,No,F,5.85,2,Medium,SEM-1,Faculty of Health
n345853,Retained,Single,36,Part Time,28,24,No,Yes,F,2.01,23,High,SEM-1,Faculty of Health
n345909,Retained,Single,0,Full Time,37,0,No,Yes,F,0.01,23,Medium,SEM-1,Sci and Eng Faculty
n346091,Retained,Single,12,Part Time,22,36,No,Yes,F,3.98,24,High,SEM-2,CI Faculty
n346534,Retained,Single,96,Full Time,19,0,No,No,F,5.63,5,Medium,SEM-1,CI Faculty
n347897,Retained,Single,96,Full Time,22,0,No,No,M,6.52,19,Medium,SEM-1,Sci and Eng Faculty
n347905,Not Retained,Single,36,Full Time,19,0,No,Yes,F,5.33,8,High,SEM-1,CI Faculty
n348439,Retained,Single,108,Full Time,20,0,No,No,M,5.89,4,Low,SEM-1,Faculty of Health
n348908,Retained,Single,96,Full Time,19,0,No,Yes,F,5,19,Medium,SEM-1,CI Faculty
n348909,Retained,Double,144,Full Time,20,0,No,Yes,F,4.92,9,High,SEM-1,Faculty of Law
n349044,Retained,Single,96,Full Time,19,0,No,Yes,M,5.62,10,Medium,SEM-1,Sci and Eng Faculty
n349065,Retained,Single,192,Full Time,20,0,Yes,No,F,4.63,10,Medium,SEM-1,QUT Business School
n349707,Retained,Single,96,Full Time,21,0,Yes,No,M,0,8,Medium,SEM-2,QUT Business School
n349711,Not Retained,Single,12,Full Time,23,36,No,Yes,M,1.72,16,Medium,SEM-2,Sci and Eng Faculty
n349817,Retained,Single,24,Full Time,19,24,No,Yes,M,3.52,7,Medium,SEM-1,QUT Business School
n350018,Retained,Single,48,Full Time,19,0,No,Yes,M,4.76,8,Medium,SEM-1,QUT Business School
n350131,Not Retained,Single,0,Full Time,20,24,No,No,M,1.5,10,High,SEM-2,Sci and Eng Faculty
n350305,Retained,Single,96,Full Time,21,0,No,No,F,5.63,24,Medium,SEM-1,CI Faculty
n350415,Retained,Double,96,Full Time,20,0,No,No,F,5.25,19,Medium,SEM-1,Faculty of Law
n350956,Retained,Single,108,Full Time,20,0,No,Yes,F,5.51,8,Low,SEM-1,Faculty of Health
n351142,Retained,Single,120,Full Time,20,24,No,No,F,3.66,6,Low,SEM-1,Faculty of Education
n351392,Retained,Single,0,Part Time,43,24,No,No,M,1.99,18,High,SEM-2,Faculty of Health
n351705,Retained,Single,120,Full Time,20,0,No,Yes,M,4.6,13,Low,SEM-1,Faculty of Education
n352032,Retained,Single,72,Full Time,23,12,No,Yes,F,4.57,11,Medium,SEM-1,CI Faculty
n352075,Retained,Single,84,Full Time,27,12,No,Yes,F,4.01,20,Medium,SEM-1,Faculty of Health
n352139,Not Retained,Single,0,Full Time,20,24,No,No,M,1.5,10,High,SEM-2,Sci and Eng Faculty
n352271,Retained,Single,96,Full Time,19,0,No,Yes,M,4.76,12,Medium,SEM-1,Faculty of Education
n352622,Retained,Single,96,Full Time,19,0,No,No,F,5.26,9,Medium,SEM-1,CI Faculty
n352841,Retained,Single,132,Full Time,23,48,Yes,No,F,3.3,13,High,SEM-2,QUT Business School
n353245,Retained,Single,84,Full Time,20,0,No,Yes,F,4.33,23,Medium,SEM-2,Faculty of Health
n353286,Retained,Single,120,Full Time,23,12,No,No,F,5.13,11,High,SEM-2,QUT Business School
n353301,Not Retained,Single,48,Full Time,19,0,No,No,F,5.49,3,Medium,SEM-1,CI Faculty
n353424,Retained,Single,48,Full Time,28,12,No,Yes,M,5.5,4,High,SEM-2,Sci and Eng Faculty
n353483,Not Retained,Single,96,Full Time,19,0,No,No,F,5.66,3,High,SEM-1,CI Faculty
n353544,Not Retained,Single,0,Full Time,22,36,No,Yes,F,1.02,14,Medium,SEM-1,Sci and Eng Faculty
n353780,Retained,Single,60,Full Time,20,0,No,No,F,5.79,23,Medium,SEM-2,CI Faculty
n354008,Retained,Single,96,Full Time,19,0,No,Yes,F,4.57,8,High,SEM-1,Faculty of Health
n354431,Retained,Single,96,Part Time,19,0,No,Yes,F,4.39,10,Medium,SEM-1,Faculty of Law
n354448,Retained,Single,96,Full Time,21,0,No,No,M,5.49,5,High,SEM-1,Sci and Eng Faculty
n354648,Retained,Single,108,Full Time,22,0,No,Yes,F,6.26,6,Medium,SEM-1,Faculty of Health
n354877,Retained,Single,132,Full Time,22,12,Yes,No,M,4.25,4,Medium,SEM-2,QUT Business School
n355266,Not Retained,Single,96,Full Time,59,0,No,Yes,F,0,5,Medium,SEM-2,Faculty of Health
n355709,Retained,Single,96,Full Time,19,0,No,Yes,F,4.63,10,Medium,SEM-1,Faculty of Education
n356288,Retained,Single,72,Full Time,19,24,No,Yes,F,3.76,7,Medium,SEM-1,Sci and Eng Faculty
n356460,Retained,Single,60,Full Time,20,24,No,No,F,4,24,High,SEM-1,Sci and Eng Faculty
n356746,Retained,Single,96,Full Time,20,0,No,Yes,F,4.89,6,Medium,SEM-1,QUT Business School
n356909,Retained,Single,180,Full Time,27,0,No,Yes,M,6.99,10,High,SEM-1,Sci and Eng Faculty
n356984,Not Retained,Single,0,Full Time,21,84,No,Yes,F,1.58,11,Medium,SEM-1,Faculty of Law
n357121,Not Retained,Single,0,Full Time,25,12,No,No,M,1.01,10,High,SEM-1,Faculty of Health
n357456,Retained,Single,96,Full Time,20,0,No,No,M,4.23,12,Medium,SEM-2,QUT Business School
n357487,Retained,Single,48,Part Time,39,12,No,No,M,3.61,4,Medium,SEM-1,CI Faculty
n357814,Retained,Single,96,Full Time,19,0,No,No,F,5.25,5,High,SEM-1,QUT Business School
n358018,Not Retained,Single,12,Full Time,22,12,No,Yes,M,2.49,12,Medium,SEM-1,Sci and Eng Faculty
n358365,Retained,Single,192,Full Time,23,0,Yes,No,M,4.64,16,Medium,SEM-1,QUT Business School
n358577,Retained,Single,60,Full Time,24,12,No,No,F,3.01,21,Medium,SEM-2,Faculty of Health
n359139,Not Retained,Single,36,Full Time,20,12,No,No,M,3.51,12,Medium,SEM-1,CI Faculty
n359360,Retained,Single,96,Full Time,21,0,Yes,No,F,6.5,20,High,SEM-1,Sci and Eng Faculty
n359397,Retained,Single,84,Full Time,19,12,No,No,F,4.75,8,High,SEM-1,QUT Business School
n360052,Retained,Double,108,Full Time,19,0,No,No,F,6.12,5,Medium,SEM-1,Faculty of Health
n360172,Not Retained,Single,96,Full Time,20,0,No,No,F,5.52,11,Medium,SEM-1,Faculty of Health
n360210,Retained,Single,144,Full Time,21,0,No,No,M,5.25,12,Medium,SEM-1,CI Faculty
n360224,Not Retained,Single,24,Full Time,44,0,No,Yes,F,6.49,17,High,SEM-1,CI Faculty
n360540,Retained,Single,96,Full Time,19,0,No,No,M,4.98,7,Low,SEM-1,Faculty of Health
n360892,Not Retained,Single,36,Full Time,26,0,No,No,F,4.65,14,High,SEM-1,Faculty of Health
n361080,Retained,Single,84,Part Time,24,0,No,Yes,M,7,2,High,SEM-2,QUT Business School
n361548,Not Retained,Single,96,Full Time,20,0,No,Yes,F,4.74,1,High,SEM-1,Sci and Eng Faculty
n361797,Retained,Single,192,Full Time,20,0,No,No,M,6.02,2,High,SEM-1,Sci and Eng Faculty
n362348,Retained,Single,96,Full Time,20,0,No,No,F,5.38,9,Medium,SEM-1,Faculty of Education
n362835,Retained,Single,96,Full Time,19,0,Yes,No,F,6.37,20,High,SEM-1,Faculty of Health
n363731,Retained,Single,192,Full Time,21,12,No,No,M,4.82,14,Medium,SEM-1,Sci and Eng Faculty
n363744,Retained,Single,96,Full Time,19,0,No,No,F,4.87,9,Medium,SEM-1,Faculty of Education
n363797,Retained,Single,84,Full Time,19,0,No,Yes,F,4.43,5,Low,SEM-1,CI Faculty
n363814,Retained,Single,108,Full Time,31,0,No,No,F,4.66,15,High,SEM-1,QUT Business School
n363866,Retained,Single,180,Full Time,21,12,No,No,F,4.14,3,High,SEM-1,Faculty of Health
n364097,Retained,Single,84,Full Time,19,12,No,No,M,4.39,9,Low,SEM-1,Sci and Eng Faculty
n364166,Not Retained,Single,48,Full Time,23,48,No,Yes,F,0.99,13,Low,SEM-1,Faculty of Education
n364211,Retained,Single,108,Full Time,20,0,No,Yes,M,6.02,6,High,SEM-1,Faculty of Health
n364563,Not Retained,Single,96,Full Time,20,0,No,No,F,6.01,17,Medium,SEM-1,Faculty of Health
n365696,Not Retained,Single,24,Full Time,19,60,No,Yes,M,2.02,24,High,SEM-1,Sci and Eng Faculty
n365741,Retained,Single,96,Full Time,19,0,No,No,F,5.86,8,High,SEM-1,Sci and Eng Faculty
n366083,Retained,Single,96,Full Time,19,0,No,No,M,4.75,8,High,SEM-1,QUT Business School
n366202,Retained,Single,84,Full Time,19,0,No,Yes,F,5.87,8,Low,SEM-2,CI Faculty
n366402,Retained,Single,60,Full Time,19,12,No,Yes,M,4.17,9,Medium,SEM-1,Faculty of Health
n366636,Retained,Single,96,Full Time,20,0,No,Yes,M,4.48,8,Medium,SEM-1,CI Faculty
n366941,Retained,Double,72,Full Time,20,24,No,No,M,4.62,3,Medium,SEM-1,Sci and Eng Faculty
n367175,Not Retained,Single,36,Part Time,21,12,No,Yes,F,3.5,14,High,SEM-2,Faculty of Law
n367284,Retained,Single,144,Full Time,24,0,No,No,M,6.66,13,Medium,SEM-2,Faculty of Health
n368553,Retained,Single,72,Part Time,22,0,No,No,F,4.85,6,High,SEM-2,QUT Business School
n368588,Retained,Single,96,Full Time,23,0,No,No,M,5.25,10,High,SEM-1,CI Faculty
n368779,Retained,Single,84,Full Time,39,0,No,Yes,M,5.99,9,High,SEM-1,Faculty of Health
n369105,Not Retained,Single,48,Full Time,20,0,No,No,M,5.01,5,Low,SEM-2,QUT Business School
n370564,Retained,Double,108,Full Time,21,0,No,Yes,M,5.01,16,Medium,SEM-1,Faculty of Health
n370672,Not Retained,Single,0,Full Time,19,0,No,No,M,0,6,High,SEM-1,CI Faculty
n370687,Retained,Single,0,Full Time,29,0,No,No,F,0,4,Medium,SEM-1,Faculty of Education
n370692,Retained,Single,48,Full Time,19,48,No,No,F,2.99,12,Medium,SEM-1,CI Faculty
n371358,Retained,Single,120,Full Time,20,0,No,No,F,4.34,17,Medium,SEM-2,Faculty of Health
n371523,Not Retained,Single,0,Full Time,20,36,No,Yes,M,1.65,5,Medium,SEM-1,Faculty of Law
n371780,Retained,Single,96,Full Time,19,0,No,Yes,M,4.38,12,Medium,SEM-1,Faculty of Law
n372087,Not Retained,Single,24,Full Time,37,0,No,No,F,5,16,Medium,SEM-2,QUT Business School
n372141,Retained,Single,96,Full Time,19,0,No,No,F,5.75,4,Medium,SEM-1,Faculty of Law
n372184,Retained,Single,96,Full Time,19,0,No,Yes,M,4.75,9,Medium,SEM-1,Sci and Eng Faculty
n372567,Retained,Single,84,Full Time,19,12,No,Yes,F,4,13,Medium,SEM-1,QUT Business School
n372766,Not Retained,Single,24,Full Time,19,0,No,No,F,5.34,11,Low,SEM-1,CI Faculty
n373455,Retained,Single,96,Full Time,24,0,No,Yes,M,4.49,25,High,SEM-1,QUT Business School
n373497,Retained,Single,96,Full Time,20,0,Yes,No,F,5.64,12,Medium,SEM-1,CI Faculty
n374000,Retained,Single,36,Full Time,26,36,No,Yes,F,5.33,8,Medium,SEM-2,Faculty of Law
n374403,Retained,Single,192,Full Time,22,24,Yes,No,F,4.11,3,High,SEM-1,QUT Business School
n374535,Retained,Single,72,Full Time,20,24,No,No,M,3.74,19,Low,SEM-1,Sci and Eng Faculty
n374732,Retained,Single,108,Full Time,19,0,No,No,M,5.65,11,Medium,SEM-1,Faculty of Health
n374793,Retained,Single,96,Full Time,19,0,No,No,M,6.12,9,Medium,SEM-1,Sci and Eng Faculty
n375070,Retained,Single,192,Full Time,21,0,No,No,M,5.74,2,High,SEM-2,QUT Business School
n375915,Retained,Single,96,Full Time,19,0,No,No,F,4.86,8,Medium,SEM-1,Faculty of Health
n376412,Not Retained,Single,84,Full Time,21,48,No,Yes,M,3,20,Medium,SEM-1,QUT Business School
n376534,Not Retained,Single,48,Full Time,19,0,No,Yes,F,5.25,7,High,SEM-1,CI Faculty
n376630,Not Retained,Single,60,Full Time,20,0,No,Yes,F,5.25,8,Low,SEM-2,Faculty of Health
n376756,Retained,Single,84,Full Time,26,0,No,No,M,5.58,15,High,SEM-1,Sci and Eng Faculty
n377018,Not Retained,Single,96,Full Time,20,0,No,No,M,5.13,17,High,SEM-1,Sci and Eng Faculty
n377405,Retained,Single,24,Full Time,19,0,No,Yes,F,4.49,8,High,SEM-2,Faculty of Law
n377582,Retained,Single,96,Full Time,19,0,No,No,M,5.25,9,High,SEM-1,CI Faculty
n377951,Retained,Single,48,Full Time,30,0,No,Yes,M,6.51,19,High,SEM-1,Faculty of Health
n377991,Retained,Single,84,Full Time,27,0,No,No,M,5.7,4,Medium,SEM-1,Faculty of Health
n378107,Retained,Single,156,Part Time,22,0,No,Yes,M,4.78,5,Medium,SEM-1,QUT Business School
n378216,Not Retained,Single,0,Full Time,38,12,No,No,F,2.02,8,Medium,SEM-2,Faculty of Health
n378794,Not Retained,Single,36,Full Time,19,60,No,No,M,2.75,7,Medium,SEM-1,QUT Business School
n379354,Retained,Single,96,Full Time,20,0,No,Yes,F,5.64,9,Medium,SEM-1,CI Faculty
n379559,Retained,Single,48,Full Time,24,0,No,Yes,F,6.31,22,Medium,SEM-2,Faculty of Health
n379818,Retained,Single,84,Full Time,20,12,No,No,F,4.25,7,Low,SEM-1,Sci and Eng Faculty
n380457,Retained,Single,72,Full Time,23,0,No,Yes,M,5.17,25,Medium,SEM-1,QUT Business School
n381317,Retained,Single,96,Full Time,23,0,No,No,M,5.62,8,Low,SEM-1,CI Faculty
n381690,Retained,Single,216,Part Time,22,0,Yes,No,F,6.02,1,Low,SEM-1,QUT Business School
n382212,Retained,Single,96,Full Time,22,0,No,Yes,F,5.15,10,High,SEM-1,Faculty of Health
n382333,Retained,Single,96,Full Time,19,0,No,Yes,F,5.62,4,Medium,SEM-1,QUT Business School
n382375,Retained,Single,72,Full Time,20,24,No,No,M,3.99,9,High,SEM-1,Sci and Eng Faculty
n382630,Retained,Single,72,Part Time,24,0,No,Yes,M,5.16,19,Medium,SEM-2,QUT Business School
n382640,Retained,Single,192,Part Time,46,0,No,Yes,F,6.15,16,Medium,SEM-1,Faculty of Health
n382880,Not Retained,Double,96,Full Time,22,0,No,Yes,F,5.16,17,Medium,SEM-1,Faculty of Health
n383030,Not Retained,Single,96,Full Time,22,0,No,No,M,5.01,15,Medium,SEM-1,QUT Business School
n383149,Retained,Single,60,Full Time,19,36,No,No,M,3.89,10,Medium,SEM-1,Sci and Eng Faculty
n383261,Retained,Single,144,Full Time,21,0,No,No,F,5.58,8,Medium,SEM-1,QUT Business School
n383314,Retained,Single,144,Full Time,21,0,Yes,No,F,5.82,4,Medium,SEM-2,Sci and Eng Faculty
n383526,Retained,Single,24,Full Time,26,24,No,Yes,M,2.75,8,Medium,SEM-1,QUT Business School
n383651,Retained,Double,288,Full Time,21,0,No,Yes,M,6.39,2,Medium,SEM-2,Sci and Eng Faculty
n383966,Retained,Single,96,Full Time,19,0,No,Yes,F,6.01,5,Medium,SEM-1,CI Faculty
n384147,Retained,Single,96,Full Time,20,0,No,No,M,5.66,9,High,SEM-1,Faculty of Health
n385267,Retained,Single,96,Full Time,19,0,No,Yes,F,5.48,8,Low,SEM-1,Faculty of Health
n385570,Retained,Double,96,Full Time,20,0,No,No,F,5.89,9,High,SEM-1,Faculty of Health
n385663,Not Retained,Single,144,Full Time,23,0,No,No,M,5,15,Medium,SEM-1,Faculty of Health
n385696,Retained,Single,228,Full Time,25,24,Yes,No,M,3.91,20,Low,SEM-1,QUT Business School
n385796,Retained,Single,96,Full Time,19,0,No,No,F,4.88,19,Medium,SEM-2,Faculty of Health
n386138,Retained,Single,96,Full Time,19,0,No,No,F,6,5,Low,SEM-1,Faculty of Health
n386465,Retained,Single,60,Full Time,19,48,No,No,M,3.74,1,Medium,SEM-2,QUT Business School
n387109,Retained,Single,48,Part Time,42,0,No,No,F,5.73,9,Medium,SEM-1,Faculty of Health
n387273,Not Retained,Single,0,Full Time,19,0,No,No,M,0,9,High,SEM-1,Faculty of Health
n387383,Retained,Single,0,Full Time,27,0,No,Yes,M,0,25,Medium,SEM-1,Sci and Eng Faculty
n387768,Retained,Single,96,Full Time,19,0,No,No,M,4.13,7,Medium,SEM-2,QUT Business School
n387802,Retained,Single,96,Full Time,20,0,No,Yes,M,5.13,9,Medium,SEM-1,Faculty of Health
n387833,Retained,Single,192,Full Time,28,0,No,Yes,F,5.75,6,Medium,SEM-1,Faculty of Law
n387975,Retained,Single,96,Full Time,20,0,Yes,No,M,5.24,10,Medium,SEM-1,QUT Business School
n388024,Not Retained,Single,36,Full Time,19,0,No,No,M,4.32,9,High,SEM-1,CI Faculty
n388074,Retained,Single,96,Full Time,20,0,No,No,F,5.15,9,High,SEM-1,Faculty of Health
n388154,Retained,Single,96,Full Time,19,0,No,No,F,5.01,11,Medium,SEM-1,Faculty of Law
n388277,Retained,Single,96,Full Time,20,12,Yes,No,F,4.55,8,High,SEM-1,Faculty of Health
n388389,Retained,Single,108,Full Time,34,12,Yes,No,M,4.37,2,High,SEM-1,Faculty of Health
n389116,Retained,Single,96,Full Time,21,0,No,Yes,M,5.51,11,Medium,SEM-1,Sci and Eng Faculty
n389138,Retained,Single,228,Part Time,24,0,No,No,F,4.52,2,High,SEM-2,Faculty of Law
n389404,Retained,Single,24,Full Time,20,72,No,Yes,F,3.75,15,Low,SEM-2,QUT Business School
n389634,Not Retained,Single,0,Full Time,20,0,Yes,Yes,F,0.02,20,Medium,SEM-1,Faculty of Education
n389863,Retained,Single,48,Part Time,21,48,No,No,M,2.86,12,Medium,SEM-1,Sci and Eng Faculty
n390263,Retained,Single,132,Full Time,21,0,No,Yes,F,4.33,4,Low,SEM-2,QUT Business School
n390943,Retained,Single,72,Full Time,19,0,No,Yes,F,5.31,3,Medium,SEM-2,Faculty of Law
n391067,Retained,Single,216,Full Time,21,12,No,No,M,4.78,4,Low,SEM-1,QUT Business School
n391367,Retained,Single,96,Full Time,19,0,No,No,M,5.38,3,High,SEM-1,CI Faculty
n391469,Retained,Single,72,Full Time,34,0,No,No,F,6,8,High,SEM-1,Faculty of Health
n391565,Retained,Single,120,Part Time,32,0,No,No,F,6.01,22,Low,SEM-2,Faculty of Law
n392523,Not Retained,Single,0,Full Time,19,0,No,No,M,0.01,13,High,SEM-1,CI Faculty
n392551,Retained,Single,180,Full Time,21,12,No,No,M,4.45,22,High,SEM-1,Faculty of Health
n392971,Retained,Single,132,Full Time,41,0,No,No,F,5.66,13,High,SEM-2,Sci and Eng Faculty
n392999,Retained,Double,108,Full Time,19,0,No,No,F,6.15,5,Medium,SEM-1,Faculty of Health
n393316,Not Retained,Single,84,Full Time,20,0,No,Yes,F,5,7,Medium,SEM-2,Faculty of Health
n393415,Not Retained,Double,36,Full Time,19,12,No,Yes,F,4.26,3,Low,SEM-2,Faculty of Law
n393481,Retained,Single,108,Full Time,21,0,No,No,F,6,21,High,SEM-2,QUT Business School
n393492,Retained,Single,96,Part Time,19,0,No,No,F,5.01,10,Low,SEM-1,Faculty of Health
n393579,Retained,Single,0,Full Time,20,96,Yes,No,M,1.12,9,Medium,SEM-1,QUT Business School
n393636,Retained,Double,96,Full Time,20,0,No,No,F,5.14,10,Medium,SEM-1,Faculty of Health
n393693,Retained,Single,60,Full Time,20,0,No,Yes,F,5,5,High,SEM-1,Faculty of Health
n393860,Retained,Single,0,Full Time,19,96,No,Yes,M,1.38,13,Medium,SEM-1,QUT Business School
n394132,Retained,Single,96,Full Time,28,0,No,No,M,5.63,5,High,SEM-1,Sci and Eng Faculty
n394232,Retained,Single,168,Full Time,26,36,No,No,F,4.44,1,Medium,SEM-1,QUT Business School
n394459,Retained,Single,24,Part Time,32,0,No,No,M,6.5,24,High,SEM-2,Faculty of Health
n394562,Retained,Single,144,Full Time,21,0,No,No,M,6.82,1,High,SEM-1,QUT Business School
n394840,Retained,Single,96,Full Time,19,0,No,Yes,M,6.11,11,Low,SEM-1,Sci and Eng Faculty
n395479,Retained,Single,12,Full Time,19,24,No,No,M,2,12,Medium,SEM-2,QUT Business School
n396267,Retained,Double,96,Full Time,19,0,No,No,F,5.49,5,Medium,SEM-1,Faculty of Health
n396394,Retained,Single,96,Full Time,19,0,No,No,F,5.63,3,Medium,SEM-1,Faculty of Health
n396528,Retained,Single,72,Full Time,20,0,No,Yes,F,6.02,3,Low,SEM-1,Sci and Eng Faculty
n396962,Retained,Single,96,Full Time,20,0,Yes,No,F,5.39,25,Low,SEM-1,CI Faculty
n397169,Retained,Single,48,Part Time,24,0,No,No,M,5.26,10,High,SEM-1,CI Faculty
n397441,Not Retained,Single,96,Full Time,20,0,Yes,No,F,5.38,4,Medium,SEM-1,CI Faculty
n397488,Retained,Single,96,Full Time,34,0,Yes,No,F,-0,25,High,SEM-1,Faculty of Health
n397656,Retained,Single,96,Full Time,19,0,No,No,M,5.26,8,Medium,SEM-1,Faculty of Health
n397938,Retained,Single,12,Full Time,20,0,No,No,F,4,12,High,SEM-1,Faculty of Health
n398339,Retained,Single,96,Full Time,25,0,No,No,F,5.58,20,High,SEM-1,Faculty of Health
n399399,Retained,Single,96,Full Time,24,12,No,No,F,4.25,17,Low,SEM-1,CI Faculty
n399590,Retained,Single,108,Part Time,26,0,Yes,No,F,7,19,Medium,SEM-2,QUT Business School
n399699,Retained,Single,84,Full Time,21,12,No,No,M,4.38,15,High,SEM-1,Faculty of Education
n400055,Retained,Single,276,Full Time,23,0,No,No,M,7,1,Medium,SEM-2,Sci and Eng Faculty
n400056,Not Retained,Single,60,Full Time,20,12,No,Yes,F,4,10,High,SEM-1,Sci and Eng Faculty
n400152,Retained,Single,96,Full Time,19,0,No,Yes,F,5.15,6,Medium,SEM-1,Faculty of Health
n400368,Not Retained,Single,60,Full Time,19,24,No,Yes,F,3.33,15,Low,SEM-1,QUT Business School
n400605,Retained,Single,96,Full Time,19,0,No,No,M,5.14,5,Medium,SEM-1,QUT Business School
n400752,Not Retained,Single,0,Full Time,25,48,No,Yes,M,1,16,Low,SEM-2,Faculty of Health
n401382,Retained,Single,0,Full Time,31,0,Yes,No,F,0,8,High,SEM-1,Faculty of Health
n401383,Retained,Single,96,Full Time,19,0,No,No,F,6.75,2,High,SEM-1,Faculty of Health
n401384,Retained,Single,180,Full Time,30,0,No,No,F,5.32,3,High,SEM-1,Faculty of Health
n401411,Not Retained,Single,0,Full Time,19,0,No,Yes,M,-0,5,Medium,SEM-1,Faculty of Law
n401959,Retained,Single,36,Full Time,24,12,No,Yes,M,4.5,11,Low,SEM-2,Faculty of Law
n402112,Retained,Single,192,Full Time,66,0,No,Yes,M,5.02,4,Medium,SEM-1,Faculty of Law
n402560,Not Retained,Single,192,Full Time,24,0,No,Yes,M,4.99,24,Medium,SEM-1,Faculty of Health
n403117,Retained,Single,0,Full Time,29,36,No,Yes,M,1.01,13,Medium,SEM-1,Sci and Eng Faculty
n403808,Retained,Single,60,Full Time,21,48,No,Yes,M,4,13,High,SEM-1,QUT Business School
n403921,Retained,Single,144,Full Time,20,0,No,No,M,4.91,7,High,SEM-1,Faculty of Health
n403927,Retained,Single,156,Full Time,21,0,Yes,No,F,5.39,11,Low,SEM-1,CI Faculty
n404114,Retained,Single,96,Full Time,19,0,No,Yes,M,4.26,12,Medium,SEM-1,Faculty of Education
n404781,Retained,Single,48,Part Time,24,24,No,No,M,3.66,5,High,SEM-1,Faculty of Education
n404914,Retained,Single,96,Full Time,19,0,No,Yes,M,4.39,8,Medium,SEM-1,CI Faculty
n405159,Retained,Single,72,Full Time,22,12,No,Yes,M,4.14,1,Medium,SEM-1,Faculty of Health
n405371,Retained,Single,48,Full Time,22,0,No,Yes,F,6.51,6,Medium,SEM-2,Faculty of Health
n405426,Not Retained,Single,96,Full Time,22,24,No,Yes,F,0.99,8,Medium,SEM-1,Faculty of Law
n405556,Retained,Single,156,Part Time,22,0,No,Yes,M,4.8,5,Medium,SEM-1,QUT Business School
